Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,Ribosome Homo sapiens hsa03010,-0.5568153676913771,-2.0935940767255654,0.0,0.0,0.0,73/126,26.01%,RPLP1;RPS14;RPL9;RPS12;RPL41;RPS20;MRPL33;RPL18A;RPS13;RPS19;RPS23;RPS4X;RPS11;RPL13;RPL18;RPS9;RPL34;RPL32;RPL27A;RPS8;RPL12;RPL37;RPL11;RPS18;RPL39;RPS5;RPS16;RPL24;RPS15A;RPLP2;RPL28;RPS24;RPS27;RPL14;RPL26;FAU;MRPS7;MRPS6;RPL10;MRPS18A;RPL7;RPL10A;MRPL24;RPL22;RPS15;RPS6;RPL23;RPL17;MRPL15;RPL31;RPS25;RPL15;RPSA;RPS7;RPL38;RPLP0;RPL27;MRPL17;RPL36A;RPL36AL;MRPL12;MRPL1;RPS26;RPS27L;RPL35A;RPS29;RPL8;RPL36;MRPL35;RPS3;MRPL4;RPL13A;MRPL21
prerank,cGMP-PKG signaling pathway Homo sapiens hsa04022,0.5883295031313815,1.9086236275745039,0.0,0.23573929405039776,0.182,29/158,4.17%,GUCY1A2;TRPC6;EDNRA;CACNA1C;KCNJ8;MEF2C;PRKG1;PIK3CD;ATP2A3;PDE3A;ATP1A2;PIK3R1;MYLK;PDE5A;VASP;ITPR2;ROCK1;KCNMB1;AKT3;ATP1A4;FXYD2;PIK3CA;MYL9;ADCY8;ADCY3;ATP2B3;ITPR1;ADCY6;PPP3CA
prerank,Phosphatidylinositol signaling system Homo sapiens hsa04070,0.6261595585735892,1.904328975934164,0.0,0.12165662363645025,0.188,19/91,5.88%,INPP4B;PIP5K1B;DGKB;PTEN;PLCE1;IMPA2;PIK3CD;DGKH;PIK3R1;DGKG;ITPR2;CDS2;INPP5A;PIP4K2A;PIK3CA;ITPR1;ITPKB;INPP5J;PIP4K2C
prerank,Morphine addiction Homo sapiens hsa05032,0.6316450102244847,1.884104229040244,0.0,0.11203139141618636,0.252,21/86,10.47%,PDE8B;PDE4D;PDE4C;GNB4;GNG2;PDE3A;PDE7B;ADCY8;ADCY3;ADCY6;GABRG2;GABRA2;PDE4B;SLC32A1;ADCY9;GNG5;GRK5;KCNJ3;CACNA1A;KCNJ6;PDE8A
prerank,Neuroactive ligand-receptor interaction Homo sapiens hsa04080,0.5356244543887061,1.8086476874299198,0.0,0.21088726003906064,0.494,26/243,6.62%,GRM3;GRM7;EDNRA;CYSLTR2;P2RY14;S1PR3;PTH1R;TBXA2R;ADORA2A;TACR2;ADCYAP1R1;GIPR;CHRNA3;GRIK1;GRM5;TACR1;GABRG2;GRM1;GRID1;HTR1B;GRIA2;GABRA2;HTR2C;TRHR;OPRK1;CHRNA7
prerank,Inositol phosphate metabolism Homo sapiens hsa00562,0.6239809814113835,1.7970855427583041,0.0016611295681063123,0.1910529700376316,0.541,17/68,9.57%,INPP4B;PIP5K1B;PTEN;PLCE1;IMPA2;PIK3CD;INPP5A;PIP4K2A;PIK3CA;ITPKB;INPP5J;PIP4K2C;PIK3C2A;PIKFYVE;MTMR14;MTMR7;INPP5B
prerank,Glutamatergic synapse Homo sapiens hsa04724,0.5560447834455295,1.762668486512132,0.0015313935681470138,0.225167317677321,0.659,20/109,7.39%,GRM3;GRM7;CACNA1C;GNB4;GNG2;PLD1;TRPC1;ITPR2;GRIK1;ADCY8;ADCY3;GRM5;ITPR1;ADCY6;PPP3CA;GRM1;GRIA2;ADCY9;GNG5;CACNA1D
prerank,Phospholipase D signaling pathway Homo sapiens hsa04072,0.5483990701554049,1.7527831396715592,0.004511278195488722,0.20855421194820045,0.688,19/133,4.20%,GRM3;GRM7;PDGFRB;PIP5K1B;DGKB;PIK3CD;GAB1;PLD1;RAPGEF4;DGKH;PIK3R1;DGKG;AKT3;PIK3CA;ADCY8;ADCY3;GRM5;ADCY6;CYTH3
prerank,Notch signaling pathway Homo sapiens hsa04330,0.6409691913150749,1.7144474010444244,0.013986013986013986,0.2532540608774353,0.793,5/48,2.64%,NOTCH3;NOTCH1;DTX3;MAML2;DLL3
prerank,Nicotinate and nicotinamide metabolism Homo sapiens hsa00760,-0.5947283634689121,-1.7040653968450086,0.012903225806451613,0.21635798250410063,0.321,17/29,22.67%,NADK2;AOX1;ENPP1;ENPP3;NAMPT;CD38;NT5E;NNT;NADK;NUDT12;NMNAT1;NNMT;QPRT;NT5C1A;PNP;NT5C2;NAPRT
