Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,cotranslational protein targeting to membrane (GO:0006613),-0.7674137766852791,-2.7989471051089425,0.0,0.0,0.0,72/91,15.71%,RPS24;RPS12;RPL8;RPL41;RPS23;RPL13;RPS8;RPLP2;RPS6;RPL18A;RPS20;RPL37;RPS29;RPS15A;RPL3;RPL26;RPL37A;RPL38;RPL27A;RPLP1;RPS18;RPL7;RPS19;RPL22;RPS28;RPL35A;RPLP0;RPS15;SRPRA;RPL30;RPS3;RPL19;RPS21;RPL4;RPL32;RPL21;RPS16;RPL18;SSR1;RPL5;RPS7;RPL39;RPL14;RPS17;RPL28;RPL34;RPL12;RPL9;RPS25;RPL7A;RPS2;RPS9;RPS11;RPS10;RPL23A;ARL6IP1;RPL17;RPL23;SEC62;RPL27;RPL10A;RPS27;RPL29;RPS4X;RPS5;RPL36A;RPL6;SRP14;RPL31;RPSA;RPS26;RPL36
prerank,protein targeting to ER (GO:0045047),-0.7491251284639877,-2.7880195170269526,0.0,0.0,0.0,78/99,18.41%,RPS24;RPS12;RPL8;RPL41;RPS23;RPL13;RPS8;RPLP2;RPS6;RPL18A;RPS20;RPL37;RPS29;RPS15A;RPL3;RPL26;RPL37A;RPL38;RPL27A;RPLP1;RPS18;RPL7;RPS19;RPL22;RPS28;RPL35A;RPLP0;RPS15;SRPRA;RPL30;RPS3;RPL19;RPS21;RPL4;RPL32;RPL21;RPS16;RPL18;RPL5;RPS7;RPL39;RPL14;RPS17;RPL28;RPL34;RPL12;RPL9;RPS25;RPL7A;RPS2;RPS9;RPS11;RPS10;RPL23A;RPL17;RPL23;SEC62;RPL27;RPL10A;RPS27;RPL29;RPS4X;RPS5;RPL36A;RPL6;SGTB;SRP14;RPL31;RPSA;SPCS1;RPS26;RPL36;SRPRB;RPL13A;ZFAND2B;CHMP4B;CHMP4A;RPL35
prerank,SRP-dependent cotranslational protein targeting to membrane (GO:0006614),-0.7681996319064364,-2.770543835954735,0.0,0.0,0.0,69/87,15.71%,RPS24;RPS12;RPL8;RPL41;RPS23;RPL13;RPS8;RPLP2;RPS6;RPL18A;RPS20;RPL37;RPS29;RPS15A;RPL3;RPL26;RPL37A;RPL38;RPL27A;RPLP1;RPS18;RPL7;RPS19;RPL22;RPS28;RPL35A;RPLP0;RPS15;RPL30;RPS3;RPL19;RPS21;RPL4;RPL32;RPL21;RPS16;RPL18;RPL5;RPS7;RPL39;RPL14;RPS17;RPL28;RPL34;RPL12;RPL9;RPS25;RPL7A;RPS2;RPS9;RPS11;RPS10;RPL23A;RPL17;RPL23;SEC61B;RPL27;RPL10A;RPS27;RPL29;RPS4X;RPS5;RPL36A;RPL6;SRP14;RPL31;RPSA;RPS26;RPL36
prerank,cytoplasmic translation (GO:0002181),-0.7316353382493803,-2.663401970451912,0.0,0.0,0.0,68/91,15.71%,RPS24;RPS12;RPL8;RPL41;RPS23;RPL13;RPS8;RPS6;RPL18A;RPS20;RPL37;RPS29;RPS15A;RPL3;RPL26;RPL37A;RPL38;RPL27A;RPLP1;RPS18;RPL7;RPS19;RPL22;RPS28;RPL35A;RPLP0;RPS15;RPL30;RPS3;RPL19;RPS21;EIF3M;RPL4;RPL32;RPL21;RPS16;RPL18;RPL5;RPS7;RPL39;RPL14;RPS17;RPL28;RPL34;RPL12;RPL9;RPS25;RPL7A;RPS2;RPS9;RPS11;RPS10;RPL23A;RPL17;RPL23;RPL27;RPL10A;RPS27;RPL29;RPS4X;EIF2B3;RPS5;RPL36A;RPL6;RPL31;RPSA;RPS26;RPL36
prerank,"nuclear-transcribed mRNA catabolic process, nonsense-mediated decay (GO:0000184)",-0.663269390726374,-2.4820727443645976,0.0,0.0,0.0,80/110,20.81%,RPS24;RPS12;RPL8;RPL41;RPS23;RPL13;RPS8;RPLP2;RPS6;RPL18A;RPS20;RPL37;RPS29;RPS15A;RPL3;RPL26;RPL37A;RPL38;RPL27A;RPLP1;RPS18;RPL7;RPS19;RPL22;RPS28;RPL35A;RPLP0;RPS15;RPL30;RPS3;RPL19;RPS21;RPL4;RPL32;RPL21;RPS16;RPL18;RPL5;PPP2R1A;RPS7;RPL39;RPL14;RPS17;RPL28;RPL34;RPL12;RPL9;RPS25;RPL7A;RPS2;RPS9;RPS11;RPS10;RPL23A;RPL17;RPL23;RPL27;RPL10A;RPS27;RPL29;RPS4X;RPS5;RPL36A;RPL6;SMG5;RPL31;RPSA;RPS26;RPL36;RNPS1;PABPC1;RPL13A;PNRC2;RPL35;RPL24;RPS13;HELZ2;RPL11;DHX34;EIF4A3
prerank,peptide biosynthetic process (GO:0043043),-0.5864015040084822,-2.331111774705917,0.0,0.0,0.0,70/153,15.07%,RPS24;RPS12;RPL8;RPL41;RPS23;RPL13;RPS8;RPLP2;RPS6;RPL18A;RPS20;RPL37;RPS29;RPS15A;RPL3;RPL26;RPL37A;RPL38;RPL27A;RPLP1;RPS18;RPL7;RPS19;RPL22;RPS28;RPL35A;RPLP0;RPS15;RPL30;RPS3;RPL19;RPS21;RPL4;RPL32;RPL21;RPS16;RPL18;RPL5;PCSK5;RPS7;RPL39;ABCF1;RPL14;RPS17;RPL28;RPL34;EEF1A1;RPL12;RPL9;RPS25;RPL7A;RPS2;RPS9;RPS11;RPS10;RPL23A;RPL17;RPL23;RPL27;RPL10A;RPS27;RPL29;RPS4X;RPS5;RPL36A;RPL6;RPL31;HBS1L;RPSA;RPS26
prerank,translation (GO:0006412),-0.5294054399055546,-2.1927538105829707,0.0,0.00015091649646743782,0.001,106/208,25.37%,RPS24;RPS12;LARS2;RPL8;RPL41;RPS23;RPL13;RPS8;RPLP2;RPS6;RPL18A;RPS20;RPL37;RPS29;RPS15A;RPL3;RPL26;RPL37A;RPL38;RPL27A;RPLP1;RPS18;RPL7;RPS19;RPL22;RPS28;RPL35A;RPLP0;RPS15;RPL30;RPS3;WARS2;EEF2K;RPL19;RPS21;RPL4;RPL32;RPL21;RPS16;RPL18;RPL5;RPS7;RPL39;ABCF1;RPL14;RPS17;RPL28;RPL34;EEF1A1;RPL12;RPL9;RPS25;GARS1;RPL7A;RPS2;RPS9;RPS11;RPS10;RPL23A;RPL17;RPL23;RPL27;RPL10A;RPS27;RPL29;RPS4X;RPS5;DARS2;RPL36A;RPL6;RPL31;HBS1L;RPSA;RPS26;ABCE1;RPL36;APEH;EEFSEC;RPL13A;RPL35;MRPL16;EEF2;COPS5;RPL24;RPS13;MRPL34;RPL11;CARS1;EEF1D;RSL24D1;IARS1;MRPS2;MRPS16;RPL22L1;MRPS21;MRPL10;MRPL13;TUFM;EEF1G;RPS27A;MRPS33;NDUFA7;EIF4EBP2;MRPL35;EEF1A2;GTPBP2
prerank,positive regulation of cell junction assembly (GO:1901890),-0.636251534716978,-2.1559669892719397,0.0,0.0002641038688180162,0.002,18/56,8.32%,NRP1;NLGN1;CNTNAP2;NRXN1;GRID2;PTPRD;IL1RAPL1;PTPRJ;TEK;CAV1;CLSTN2;CLDN5;EPHB1;IL1RAP;SYNDIG1;KDR;EPHB2;MYOC
prerank,action potential (GO:0001508),-0.662611586290645,-2.1429337124694543,0.0,0.00035213849175735494,0.003,18/44,15.36%,KCND2;ANK3;AKAP6;KCNJ2;SCN1A;SCN2A;KCNMB2;CACNA1G;SCN7A;KCNQ1;SCN3A;SCN9A;KCNB1;GPER1;GNA14;SCN8A;KCNE4;CACNA1H
prerank,glutamate receptor signaling pathway (GO:0007215),-0.6902189006928505,-2.140721444504421,0.0,0.00031692464258161943,0.003,22/37,15.43%,GRID2;GRIK2;GRIA4;GRM7;GRM5;GRM3;GRIK1;GRIN2B;GRIA2;GRM8;PTK2B;GRIA3;GRIK4;GRIN3A;APP;GRIN2A;GRM1;KCNB1;HOMER1;CDK5R1;GRIN1;GRIK3
