Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,Nicotine addiction Homo sapiens hsa05033,0.8286756887171438,2.64344506333913,0.0,0.0,0.0,22/39,10.09%,GRIA2;GABRB3;GABRA5;GRIN1;CACNA1A;GABRB1;GRIA4;CACNA1B;GABRA2;GRIN2A;GABRG3;GABRA3;GRIA1;GABRA4;GRIN2B;SLC17A6;GABRB2;GRIN2D;GRIA3;GABRD;GABRG2;GRIN3A
prerank,Ribosome Homo sapiens hsa03010,0.6049557581288609,2.400693900291787,0.0,0.0,0.0,62/126,19.34%,RPS6;RPS19;RPS20;RPL38;RPL29;RPL23;RPL17;MRPL14;RPL35A;RPL37;RPS27;RPL7;MRPS12;RPS12;RPS21;RPL15;RPL10;RPL10A;RPS24;RPL27A;RPS17;RPL22L1;RPS8;RPS16;RPS27A;RPLP1;RPL41;RPLP0;RPL30;RPL7A;MRPL13;RPL13;MRPS18A;RPL12;MRPS7;RPS15;RPL14;MRPS14;RPL5;RPS4X;RPL21;RPS7;RPL23A;RPL8;MRPL36;MRPL23;RPS14;RPS3;RPS2;RPS5;RPL18A;RPS28;RPS25;RPS29;MRPS5;FAU;RPS9;RPL31;MRPL18;RPL19;RPL3;RPS10
prerank,Neuroactive ligand-receptor interaction Homo sapiens hsa04080,0.4883483336328692,2.091068894750567,0.0,0.0005297426413931268,0.002,53/243,11.50%,GRIA2;GABRB3;GRM5;GABRA5;GRIN1;GABRB1;GRIA4;MTNR1B;GRM7;CHRM3;GABRA2;GRM1;GLRA1;GRID1;GRID2;GRIN2A;GABRG3;GRM8;ADRB1;GABRA3;S1PR5;GRIA1;GRIK1;HTR2C;GABRA4;GRIN2B;HCRTR1;GABRB2;GRIN2D;GLRA3;GRIK2;GRIK5;MTNR1A;TACR1;GPR35;P2RY1;APLNR;GRIA3;GABRD;GABRG2;ADRA1D;ADRA1A;TRHR;TACR3;GLRA2;HCRTR2;OPRM1;GRIN3A;F2RL2;F2R;CNR1;GRPR;P2RX7
prerank,ECM-receptor interaction Homo sapiens hsa04512,-0.5581497970626771,-2.085405325354795,0.0,0.0023879700889689426,0.001,28/81,9.72%,COL1A2;LAMA2;COL4A5;ITGA9;DAG1;COL4A6;TNXB;COL1A1;COL4A3;ITGAV;LAMA1;COL6A3;LAMC3;COL4A4;VTN;COL6A1;ITGA10;HSPG2;THBS2;ITGB1;THBS1;COL6A2;ITGA11;ITGB5;TNC;ITGB8;LAMA3;LAMA4
prerank,Protein digestion and absorption Homo sapiens hsa04974,-0.5598461206284131,-2.073172315454649,0.0,0.0017909775667267072,0.002,24/79,10.22%,ATP1A2;COL1A2;COL3A1;COL4A5;COL5A2;COL5A1;COL4A6;COL1A1;COL12A1;COL22A1;COL4A3;COL6A3;COL4A4;ELN;SLC1A5;COL6A1;DPP4;COL6A2;KCNK5;COL15A1;COL13A1;COL18A1;COL5A3;COL27A1
prerank,Cell adhesion molecules (CAMs) Homo sapiens hsa04514,0.5295018750589954,2.0675797284268485,0.0,0.0007946139620896903,0.004,37/108,13.18%,CLDN5;NCAM2;NRXN3;CNTNAP2;NRXN1;MPZL1;LRRC4C;CADM1;MAG;NLGN1;ITGA6;NEGR1;MPZ;CDH2;JAM2;CNTN1;OCLN;NRXN2;NCAM1;CLDN14;NRCAM;NFASC;ESAM;CNTNAP1;PECAM1;LRRC4B;CD34;NTNG1;NTNG2;ICAM2;CADM3;PTPRM;CNTN2;ITGAM;SDC3;CD40;VCAN
prerank,Retrograde endocannabinoid signaling Homo sapiens hsa04723,0.5377761291665706,2.0584172019332914,0.0,0.0006356911696717521,0.004,30/98,8.57%,GRIA2;GABRB3;GRM5;GABRA5;CACNA1A;GABRB1;GRIA4;CACNA1B;RIMS1;ADCY8;ADCY3;KCNJ3;GABRA2;GRM1;GNG13;KCNJ6;GABRG3;GABRA3;GRIA1;GNG4;GABRA4;SLC17A6;GABRB2;PLCB1;GRIA3;GABRD;GNG2;GNGT2;PLCB4;GABRG2
prerank,Hedgehog signaling pathway Homo sapiens hsa04340,-0.5818982435995061,-1.9647675368972324,0.0,0.003979950148281571,0.009,22/48,18.77%,GLI3;WNT4;GLI2;ZIC2;BMP4;SMO;CSNK1A1;BTRC;WNT5B;WNT6;GSK3B;GAS1;WNT9A;CSNK1E;SUFU;GLI1;PTCH1;PRKACA;WNT5A;FBXW11;CSNK1D;BMP2
prerank,Mineral absorption Homo sapiens hsa04978,0.5617587275273738,1.9120430001649393,0.0,0.0055622977346278316,0.041,20/50,11.40%,MT2A;SLC40A1;STEAP2;FTH1;S100G;SLC8A1;MT1B;MT1G;MT1X;MT1M;MT1F;MT1E;MT1H;MT1A;SLC30A1;ATP1A3;FTL;ATP1A4;ATP1A1;ATOX1
prerank,Hematopoietic cell lineage Homo sapiens hsa04640,0.5180479101237403,1.8720723428973254,0.0,0.008173172181493958,0.065,19/70,14.85%,CD33;TFRC;KITLG;CSF1R;MME;CD5;ITGA6;IL7;FLT3;CD24;IL5;EPO;CD34;THPO;ITGA2B;CSF3R;ITGAM;CD36;CD38
prerank,Morphine addiction Homo sapiens hsa05032,0.49944360850312813,1.8602168646375803,0.0,0.008343446601941747,0.075,26/86,9.59%,GABRB3;GABRA5;CACNA1A;GABRB1;PDE4B;CACNA1B;ADCY8;ADCY3;KCNJ3;GABRA2;GNG13;KCNJ6;PDE10A;GABRG3;GABRA3;GNG4;PDE2A;GABRA4;GABRB2;PDE11A;GABRD;GNG2;GNGT2;PDE1C;GABRG2;OPRM1
