from,to,value
Imm.DAM.0,Neu.Epend.0,12
Imm.DAM.1,Neu.Epend.0,19
Imm.PVM.0,Neu.Epend.0,3
MeV.Endothelial.0,Neu.Epend.0,3
MeV.Endothelial.1,Neu.Epend.0,5
MeV.Endothelial.2,Neu.Epend.0,14
MeV.Pericytes.0,Neu.Epend.0,6
MeV.Endothelial.0,Imm.DAM.0,4
MeV.Endothelial.0,Imm.DAM.1,10
MeV.Endothelial.1,Imm.DAM.0,1
MeV.Endothelial.2,Imm.DAM.0,4
MeV.Endothelial.2,Imm.DAM.1,8
Imm.DAM.0,Imm.DAM.1,3
Imm.DAM.1,Imm.DAM.1,10
Imm.Interferon.0,Imm.DAM.1,8
Imm.PVM.0,Imm.DAM.1,4
MeV.Endothelial.1,Imm.PVM.0,2
MeV.Endothelial.1,MeV.Endothelial.1,1
Imm.DAM.0,Imm.PVM.0,3
Imm.DAM.0,MeV.Endothelial.0,3
Imm.DAM.0,MeV.Endothelial.1,2
Imm.DAM.1,Imm.PVM.0,9
Imm.DAM.1,MeV.Endothelial.0,5
Imm.DAM.1,MeV.Endothelial.1,3
Imm.Interferon.0,Imm.PVM.0,4
Imm.Interferon.0,MeV.Endothelial.0,4
Imm.Interferon.0,MeV.Endothelial.1,9
Neu.Epend.0,Imm.PVM.0,8
Neu.Epend.0,MeV.Endothelial.0,4
Neu.Epend.0,MeV.Endothelial.1,7
MeV.Pericytes.0,MeV.Endothelial.0,3
MeV.Pericytes.0,MeV.Endothelial.2,9
MeV.Endothelial.2,Imm.PVM.0,5
MeV.Pericytes.0,Imm.PVM.0,9
Neu.Epend.0,Imm.DAM.0,7
MeV.Pericytes.0,MeV.Pericytes.0,10
Imm.DAM.1,MeV.Pericytes.0,8
Imm.Interferon.0,Neu.Epend.0,27
Imm.PVM.0,MeV.Pericytes.0,1
MeV.Pericytes.0,Imm.DAM.1,7
Neu.Epend.0,Imm.DAM.1,6
Neu.Epend.0,Imm.Interferon.0,8
MeV.Endothelial.2,MeV.Endothelial.2,6
Imm.PVM.0,MeV.Endothelial.0,1
Imm.PVM.0,MeV.Endothelial.2,2
MeV.Endothelial.0,Imm.PVM.0,3
Neu.Epend.0,MeV.Endothelial.2,5
Imm.Interferon.0,Imm.Interferon.0,5
MeV.Endothelial.0,Imm.Interferon.0,5
Neu.Epend.0,Neu.Epend.0,8
MeV.Pericytes.0,Imm.DAM.0,6
Neu.Epend.0,MeV.Pericytes.0,3
MeV.Endothelial.0,MeV.Endothelial.2,1
MeV.Endothelial.0,MeV.Pericytes.0,4
Imm.DAM.1,Imm.DAM.0,4
Imm.DAM.1,Imm.Interferon.0,7
Imm.Interferon.0,Imm.DAM.0,4
MeV.Pericytes.0,Imm.Interferon.0,6
Imm.DAM.0,Imm.DAM.0,3
Imm.DAM.0,Imm.Interferon.0,3
Imm.DAM.0,MeV.Endothelial.2,2
Imm.DAM.0,MeV.Pericytes.0,4
Imm.DAM.1,MeV.Endothelial.2,4
Imm.PVM.0,Imm.DAM.0,2
Imm.PVM.0,Imm.Interferon.0,3
Imm.PVM.0,Imm.PVM.0,2
Imm.Interferon.0,MeV.Endothelial.2,4
Imm.Interferon.0,MeV.Pericytes.0,9
Imm.PVM.0,MeV.Endothelial.1,3
MeV.Endothelial.2,Imm.Interferon.0,3
MeV.Endothelial.1,MeV.Pericytes.0,1
MeV.Endothelial.1,MeV.Endothelial.0,1
MeV.Endothelial.2,MeV.Endothelial.1,5
MeV.Pericytes.0,MeV.Endothelial.1,2
MeV.Endothelial.2,MeV.Pericytes.0,8
MeV.Endothelial.2,MeV.Endothelial.0,1
