Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,transmitter-gated ion channel activity (GO:0022824),0.8461782099414383,2.5544808322934354,0.0,0.0,0.0,19/29,9.42%,GRIA2;GABRB3;GABRA5;GABRB1;GRIA4;GABRA2;GRID1;GRID2;GABRG3;GABRA3;GRIK1;GABRA4;GABRB2;GRIN2D;GLRA3;GRIK2;GRIK5;GABRG2;GLRA2
prerank,glutamate receptor activity (GO:0008066),0.8784385765988478,2.4117420472994895,0.0,0.0,0.0,13/19,4.69%,GRIA2;GRM5;GRIA4;GRM7;GRM1;GRID1;GRID2;GRM8;GRIA1;GRIK1;GRIN2D;GRIK2;GRIK5
prerank,ligand-gated cation channel activity (GO:0099094),0.6420543355831746,2.3530284341933116,0.0,0.0,0.0,23/75,8.42%,GRIA2;GRIN1;GRIA4;KCNJ3;ASIC2;KCNJ6;KCNN2;GRIN2A;ASIC4;GRIA1;GRIK1;GRIN2B;GRIN2D;GRIK2;GRIK5;KCNJ11;KCNN1;ASIC1;KCNJ10;TRPM2;GRIA3;KCNN3;KCNK1
prerank,ligand-gated ion channel activity (GO:0015276),0.7673370428610696,2.344323302395327,0.0,0.0,0.0,14/30,7.38%,GRIA2;GRIN1;GABRB1;GRIA4;GRID1;GRID2;GRIN2A;GRIA1;GRIK1;GRIN2B;GRIN2D;GRIK2;GRIK5;GRIA3
prerank,ligand-gated channel activity (GO:0022834),0.7693361595575192,2.3367216046417174,0.0,0.0,0.0,14/29,7.38%,GRIA2;GRIN1;GABRB1;GRIA4;GRID1;GRID2;GRIN2A;GRIA1;GRIK1;GRIN2B;GRIN2D;GRIK2;GRIK5;GRIA3
prerank,transmitter-gated ion channel activity involved in regulation of postsynaptic membrane potential (GO:1904315),0.7587962365585533,2.2875275643146837,0.0,0.0,0.0,11/28,8.57%,GABRA5;GABRA2;GRID1;GRID2;GABRG3;GABRA3;GRIK1;GABRA4;GRIK2;GRIK5;GABRG2
prerank,GABA-A receptor activity (GO:0004890),0.8413606814656748,2.2815898401690125,0.0,0.0,0.0,10/18,8.57%,GABRB3;GABRA5;GABRB1;GABRA2;GABRG3;GABRA3;GABRA4;GABRB2;GABRD;GABRG2
prerank,ligand-gated anion channel activity (GO:0099095),0.8349848294314905,2.2744430376337976,0.0,0.0,0.0,12/17,9.42%,GABRB3;GABRA5;GABRB1;GABRA2;GLRA1;GABRG3;GABRA3;GABRA4;GABRB2;GLRA3;GABRG2;GLRA2
prerank,ionotropic glutamate receptor activity (GO:0004970),0.8402759522940987,2.2531780249703264,0.0,0.0,0.0,12/17,10.09%,GRIA2;GRIN1;GRIA4;GRIN2A;GRIA1;GRIK1;GRIN2B;GRIN2D;GRIK2;GRIK5;GRIA3;GRIN3A
prerank,GABA receptor activity (GO:0016917),0.7900836621363554,2.2411975153062746,0.0,0.0,0.0,10/21,8.57%,GABRB3;GABRA5;GABRB1;GABRA2;GABRG3;GABRA3;GABRA4;GABRB2;GABRD;GABRG2
prerank,neurotransmitter receptor activity involved in regulation of postsynaptic membrane potential (GO:0099529),0.8139780310479005,2.2259725592353576,0.0,0.0,0.0,11/19,8.57%,GABRA5;GABRA2;GRID1;GRID2;GABRG3;GABRA3;GRIK1;GABRA4;GRIK2;GRIK5;GABRG2
prerank,voltage-gated cation channel activity (GO:0022843),0.5793070711427155,2.199151940553324,0.0,7.205550852985526e-05,0.001,33/97,11.72%,KCND2;HCN1;GRIN1;CACNA1A;KCNH7;CACNA1B;KCNQ3;KCNC2;GRIN2A;KCNH5;KCNH8;GRIN2B;CACNA2D1;GRIN2D;CACNG2;KCNJ11;CACNA1E;HCN2;KCND3;KCNC3;KCNH1;KCNQ5;CACNB2;LRRC55;KCNC1;KCNK1;CACNG3;OPRM1;GRIN3A;CACNG8;CACNB4;KCNQ2;KCNA2
